date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:28	2818/2818	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202016%2013:14:35%20GMT	http://static-public.klickpages.com.br/tmp/zip/597/styles/main.css	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/597/styles/main.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:29	3565/3565	---MCZ	200	added ('OK')	text/css	etag:W/%22bd811e750bbb5ccb1328fb52ffdece41%22	http://static-public.klickpages.com.br/tmp/zip/891/styles/main.css?v=1530280407	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/891/styles/main41ae.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:29	4147/4147	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2015:35:31%20GMT	https://viajandonoingles.co/cdn-cgi/l/email-protection	C:/Users/Guiga/Desktop/test/viajandonoingles.co/cdn-cgi/l/email-protection.html	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:29	1961/1961	---MCZ	200	added ('OK')	text/css	etag:W/%22e23ad2d69b570312478b53b11e4e5953%22	http://static-public.klickpages.com.br/tmp/zip/602/styles/main.css	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/602/styles/main.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:30	4709/4709	---MCZ	200	added ('OK')	text/css	etag:W/%2273753ec9706ac4f46863b1a843ab62dc%22	http://static-public.klickpages.com.br/tmp/zip/739/styles/main.css?v=1509387969	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/739/styles/mainb1f5.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:31	1062/1062	---MCZ	200	added ('OK')	text/css	etag:W/%22bdd111c4466a70adfae08760e2fe4e3c%22	http://static-public.klickpages.com.br/app/assets/stylesheets/made_with.css?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/stylesheets/made_with4946.css	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:31	3808/3808	---M--	200	added ('OK')	image/png	etag:%2292c413d7d16dbed8ff310de135b9fb7d%22	http://static-public.klickpages.com.br/app/assets/images/logos/klickpages.png?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/images/logos/klickpages4946.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:33	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f4ed9e2-4d7%22	https://viajandonoingles.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Guiga/Desktop/test/viajandonoingles.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:34	17972/17972	---MCZ	200	added ('OK')	application/javascript	etag:W/%220696917c8f670d405ff2282e15ef2bfa%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/body/end.js?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/javascripts/public/js/body/end4946.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:35	7418/7418	---MCZ	200	added ('OK')	application/javascript	etag:W/%224888e1579f4ec72d319cbcfb9d508b1e%22	http://static-public.klickpages.com.br/app/assets/javascripts/libs/libs.js?v=1597682575	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/app/assets/javascripts/libs/libs4946.js	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:38	177347/177347	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202020%2015:35:38%20GMT	https://viajandonoingles.co/POST	C:/Users/Guiga/Desktop/test/viajandonoingles.co/POST.35.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
12:35:46	690536/690536	---M--	200	added ('OK')	image/png	etag:%22d599c18d626767e1482d897d9213fdc0%22	http://static-public.klickpages.com.br/uploads/media/file/1628592/box_viajandonoingles4.png	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1628592/box_viajandonoingles4.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:47	132105/132105	---M--	200	added ('OK')	image/png	etag:%22a6763dedc6a47d879f2b94aadce606f4%22	http://static-public.klickpages.com.br/uploads/media/file/1278644/viajando_ingles_logo-vetor.png	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1278644/viajando_ingles_logo-vetor.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:49	589747/589747	---M--	200	added ('OK')	image/png	etag:%22a783998604f4da2ab8c516c533ec8e48%22	http://static-public.klickpages.com.br/uploads/media/file/1404477/background_viajandonoingles2.png	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/uploads/media/file/1404477/background_viajandonoingles2.png	(from https://viajandonoingles.co/?ref=K40493286D)
12:35:49	989/989	---M--	200	added ('OK')	image/png	etag:%229517d3c1a031a3046286a85ed64732a9%22	http://static-public.klickpages.com.br/tmp/zip/891/images/ico/down.png?v=1530280407	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/891/images/ico/down41ae.png	(from http://static-public.klickpages.com.br/tmp/zip/891/styles/main.css?v=1530280407)
12:35:49	1009/1009	---M--	200	added ('OK')	image/png	etag:%22cedcd4a4f3cf3c298b4c909b4157637a%22	http://static-public.klickpages.com.br/tmp/zip/739/images/lock.png?v=1509387969	C:/Users/Guiga/Desktop/test/static-public.klickpages.com.br/tmp/zip/739/images/lockb1f5.png	(from http://static-public.klickpages.com.br/tmp/zip/739/styles/main.css?v=1509387969)
